hedId	rdfs:label	Type	Properties	dc:description
	allowedCharacter	ObjectProperty	valueClassProperty	A schema attribute of value classes specifying a special character that is allowed in expressing the value of a placeholder. Normally the allowed characters are listed individually. However, the word letters designates the upper and lower case alphabetic characters and the word digits designates the digits 0-9. The word blank designates the blank character.
	defaultUnits	ObjectProperty	unitClassProperty	A schema attribute of unit classes specifying the default units to use if the placeholder has a unit class but the substituted value has no units.
	extensionAllowed	ObjectProperty	boolProperty	A schema attribute indicating that users can add unlimited levels of child nodes under this tag. This tag is propagated to child nodes with the exception of the hashtag placeholders.
	recommended	ObjectProperty	boolProperty	A schema attribute indicating that the event-level HED string should include this tag.
	relatedTag	ObjectProperty		A schema attribute suggesting HED tags that are closely related to this tag. This attribute is used by tagging tools.
	requireChild	ObjectProperty	boolProperty	A schema attribute indicating that one of the node elements descendants must be included when using this tag.
	required	ObjectProperty	boolProperty	A schema attribute indicating that every event-level HED string should include this tag.
	SIUnit	ObjectProperty	boolProperty, unitProperty	A schema attribute indicating that this unit element is an SI unit and can be modified by multiple and submultiple names. Note that some units such as byte are designated as SI units although they are not part of the standard.
	SIUnitModifier	ObjectProperty	boolProperty, unitModifierProperty	A schema attribute indicating that this SI unit modifier represents a multiple or submultiple of a base unit rather than a unit symbol.
	SIUnitSymbolModifier	ObjectProperty	boolProperty, unitModifierProperty	A schema attribute indicating that this SI unit modifier represents a multiple or submultiple of a unit symbol rather than a base symbol.
	suggestedTag	ObjectProperty		A schema attribute that indicates another tag  that is often associated with this tag. This attribute is used by tagging tools to provide tagging suggestions.
	tagGroup	ObjectProperty	boolProperty	A schema attribute indicating the tag can only appear inside a tag group.
	takesValue	ObjectProperty	boolProperty	A schema attribute indicating the tag is a hashtag placeholder that is expected to be replaced with a user-defined value.
	topLevelTagGroup	ObjectProperty	boolProperty	A schema attribute indicating that this tag (or its descendants) can only appear in a top-level tag group.
	unique	ObjectProperty	boolProperty	A schema attribute indicating that only one of this tag or its descendants can be used  in the event-level HED string.
	unitClass	ObjectProperty		A schema attribute specifying which unit class this value tag belongs to.
	unitPrefix	ObjectProperty	boolProperty, unitProperty	A schema attribute applied specifically to unit elements to designate that the unit indicator is a prefix (e.g., dollar sign in the currency units).
	unitSymbol	ObjectProperty	boolProperty, unitProperty	A schema attribute indicating this tag is an abbreviation or symbol representing a type of unit. Unit symbols represent both the singular and the plural and thus cannot be pluralized.
	valueClass	ObjectProperty		A schema attribute specifying which value class this value tag belongs to.
